"","FormattedDates","MinTemp","MaxTemp","Rainfall","Relative.Humidity....","Wind.Speed..m.s.","WindDirDaily_numerical","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Sunshine","Evaporation","Nitrogen.Oxide..ppm.","Nitrogen.Dioxide..ppm.","Nitrogen.Oxides..ppm.","Carbon.Monoxide..ppm.","PM2.5..ug.m.3.","PM10..ug.m.3.","WindDirDaily_category"
"1",2018-01-01,24.2,32.1,0.4,71.0625,1.20416666666667,6,1006.1,1001.8,7,7,6.5,4.4,0.00408333333333333,0.009375,0.01275,0.133333333333333,7.22916666666667,12.0541666666667,"ESE"
"2",2018-01-02,23.4,30.8,0,73.9416666666667,1.3875,8,1004.9,1001.6,8,7,1.3,5.8,0.00695833333333333,0.0109583333333333,0.0169583333333333,0.120833333333333,9.7125,12.9625,"SSE"
"3",2018-01-03,21.7,31.2,4.8,68.0708333333333,1.66666666666667,8,1005.6,1006.8,3,7,9.9,4.6,0.007625,0.00958333333333333,0.0162083333333333,0.108333333333333,2.66666666666667,7.175,"SSE"
"4",2018-01-04,21,29.5,0,62.4666666666667,1.47083333333333,7,1014.5,1013,1,5,11.7,8.8,0.00720833333333333,0.010125,0.016375,0.0791666666666667,4.18333333333333,13.2875,"SE"
"5",2018-01-05,22.2,29.5,0,61.9083333333333,1.49583333333333,6,1016.8,1015,7,4,9.7,9.6,0.007,0.00766666666666667,0.013875,0.0625,3.67916666666667,11.9166666666667,"ESE"
"6",2018-01-06,20.7,31.1,0,57.3541666666667,1.33333333333333,5,1019.3,1016.7,2,1,13,9.2,0.00416666666666667,0.00641666666666667,0.01,0.0625,2.64166666666667,9.1,"E"
"7",2018-01-07,21.1228571428571,31.5,0,60.075,1.5375,3,1018.9,1015.8,2,1,13,8.4,0.00491666666666667,0.00575,0.00995833333333333,0.0625,3.65833333333333,9.95833333333333,"NE"
"8",2018-01-08,22.2228571428571,32.4,0,58.8708333333333,1.75,2,1018.4,1014.6,1,1,13.1,9.4,0.00945833333333333,0.00658333333333333,0.015125,0.0708333333333333,3.27916666666667,10.3,"NNE"
"9",2018-01-09,22.3,32.1,0,56.8458333333333,1.73333333333333,2,1017.2,1013.7,2,1,11.7,11,0.0104583333333333,0.00729166666666667,0.0167916666666667,0.0875,2.8125,9.85416666666667,"NNE"
"10",2018-01-10,22,32.3,0,58.5375,1.52083333333333,3,1017,1013.6,5,1,11.5,10,0.0117083333333333,0.00929166666666667,0.0198333333333333,0.1125,4.48333333333333,12.0125,"NE"
"11",2018-01-11,23.7,31.4,0,58.9041666666667,1.375,4,1017.4,1015.5,5,7,10.2,7.4,0.00945833333333333,0.00816666666666667,0.016625,0.0958333333333333,4.22083333333333,11.025,"ENE"
"12",2018-01-12,24.8228571428571,32.6,0,59.975,1.48333333333333,3,1014.6,1010.9,5,1,10.3,8.4,0.00858333333333333,0.009,0.0165833333333333,0.1,4.42083333333333,11.525,"NE"
"13",2018-01-13,24,35.6,0,63.3375,1.60416666666667,3,1008.8,1003,5,5,11.2,9.6,0.00445833333333333,0.00820833333333333,0.01175,0.108333333333333,8.65,21.0291666666667,"NE"
"14",2018-01-14,24.2,37.5,0.2,48.6208333333333,2.47916666666667,10,1001.7,999.8,7,4,11.9,10.2,0.005375,0.00954166666666667,0.0139166666666667,0.0916666666666667,7.32916666666667,20.3833333333333,"SSW"
"15",2018-01-15,17.4,30.3,0,44.1625,1.7875,8,1011.1,1009.2,1,1,12.4,15.8,0.0117916666666667,0.01075,0.0215,0.0833333333333333,6.30833333333333,17.1166666666667,"SSE"
"16",2018-01-16,17.7,31.1,0,47.0791666666667,2.36666666666667,8,1014.5,1012.5,0,1,13,11,0.01425,0.01175,0.0245833333333333,0.0875,7.79166666666667,22.8083333333333,"SSE"
"17",2018-01-17,18.3,29.4,0,49.1875,1.67083333333333,7,1017.5,1015,2,1,12.8,10.8,0.0100833333333333,0.00970833333333333,0.0187916666666667,0.0916666666666667,4.95416666666667,18.2166666666667,"SE"
